Domain Code,Domain,AreaCode,AreaName,ElementCode,ElementName,ItemCode,ItemName,Year,Value,Flag,FlagD
"TP","Crops and livestock products","351","China","5610","Import Quantity","667","Tea","1976","10137.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","351","China","5610","Import Quantity","667","Tea","1977","11696.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","351","China","5610","Import Quantity","667","Tea","1978","10555.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","351","China","5610","Import Quantity","667","Tea","1979","10879.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","351","China","5610","Import Quantity","667","Tea","1980","12623.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","351","China","5610","Import Quantity","667","Tea","1981","11387.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","351","China","5610","Import Quantity","667","Tea","1982","11580.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","351","China","5610","Import Quantity","667","Tea","1983","12398.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","351","China","5610","Import Quantity","667","Tea","1984","14892.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","351","China","5610","Import Quantity","667","Tea","1985","16223.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","351","China","5610","Import Quantity","667","Tea","1986","31095.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","351","China","5610","Import Quantity","667","Tea","1987","31801.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","351","China","5610","Import Quantity","667","Tea","1988","38014.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","351","China","5610","Import Quantity","667","Tea","1989","24557.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","351","China","5610","Import Quantity","667","Tea","1990","31577.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","351","China","5610","Import Quantity","667","Tea","1991","35959.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","351","China","5610","Import Quantity","667","Tea","1992","42828.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","351","China","5610","Import Quantity","667","Tea","1993","40847.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","351","China","5610","Import Quantity","667","Tea","1994","39174.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","351","China","5610","Import Quantity","667","Tea","1995","33790.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","351","China","5610","Import Quantity","667","Tea","1996","28925.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","351","China","5610","Import Quantity","667","Tea","1997","25502.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","351","China","5610","Import Quantity","667","Tea","1998","26689.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","351","China","5610","Import Quantity","667","Tea","1999","29200.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
